CASO,KCMATER,HB,HC,HD,HE,HF,HG,HH,HI,FIREP,FICCUID,FIDIST,FICDOC,FICAMIG,FIPUBLI,FIAMAB,FIIMOD,FIEMOD,FISEG,FAMIL,ELECHOSP,SERPERF,ALEALTAD,AMSERV,ASCOM,ACALIDAD,ACOMOD,VKC,VB,VC,VD,VE,VF,VG,VH,VI,INTERES,COMPROM,ESFUER,MOTIV,DIFICULT,SEXO,ESTADOMA,EDAD,NIVELEDU,INGRESOS,PC1,PC2,PC3,clusterpca
221,0,1,1,0,0,1,0,0,0,6,2,2,6,2,2,2,5,6,3,6,1000,0,2,5,3,4,3,0,0,0,0,3,5,0,0,0,4,5,5,4,4,0,0,0,1,10,3.69556851152715,0.567657011869295,-1.08811550066974,1
222,0,0,0,0,1,0,1,1,0,3,6,3,1,4,3,6,2,2,3,4,10000,100,2,4,4,5,3,0,0,0,0,9,0,0,0,0,5,6,3,4,5,0,0,100,0,100,-2.26611173233037,-0.288427550130248,-0.0606232732439885,3
223,0,1,1,0,0,1,0,0,0,6,2,2,6,2,2,2,5,6,2,6,1000,0,6,5,2,4,3,0,0,0,0,0,9,0,0,0,3,4,4,5,4,0,0,0,1,10,3.69793378975222,1.14430156633017,-0.856108808357379,1
224,0,1,1,0,0,1,0,0,0,6,2,3,5,2,2,2,5,5,3,5,1e+07,0,4,5,2,4,3,0,3,6,0,0,0,0,0,0,4,5,4,4,4,0,0,100,1,10,3.23405183568818,0.155192660482934,0.197008842349324,1
225,0,1,1,0,0,1,0,0,0,5,2,3,5,2,3,3,6,5,3,6,1000,0,2,5,3,4,2,0,0,7,0,0,5,0,0,0,4,5,4,5,4,0,0,0,1,10,2.99133645179659,-0.244247922071303,-0.135904356591273,1
226,0,1,1,0,0,1,0,0,0,6,3,3,5,2,2,3,5,5,3,5,1e+07,0,3,5,3,4,3,0,3,3,0,0,0,0,0,0,4,5,5,5,4,0,0,0,1,10,2.76279622164868,0.477919077505775,0.0473490173067607,1
227,0,0,0,0,1,0,1,1,0,3,5,3,2,5,2,6,2,2,2,3,10,100,3,3,3,5,3,0,0,0,0,0,0,9,3,0,5,4,5,5,4,0,0,100,0,1000,-2.05999675176328,0.919549140353976,0.360382067413964,3
228,0,0,0,1,0,0,0,0,1,3,2,2,2,2,5,3,2,3,6,2,1,10,3,2,5,2,4,0,0,0,0,0,0,0,3,4,5,3,5,4,5,0,1,1,0,0,0.329069686052617,-4.14203326664176,-1.85256474577787,4
229,0,1,1,0,0,1,0,0,0,5,3,3,5,3,2,3,6,5,2,5,1000,0,5,5,3,4,3,0,0,5,0,0,9,0,0,0,5,5,4,4,5,0,0,0,1,10,2.51906368557299,1.20297238090318,0.186123208487329,1
230,0,1,1,0,0,1,0,0,0,6,2,3,6,2,2,3,6,5,3,5,1000,0,2,6,2,4,3,0,2,5,0,0,3,0,0,0,4,5,4,4,5,0,0,0,1,1,3.46425202802581,0.53584776762994,0.000605771617588778,1
231,0,0,0,1,0,0,0,0,1,3,3,3,2,2,5,3,2,1,5,1,1,10,3,2,5,2,4,0,0,0,9,0,0,0,2,5,3,4,6,6,3,1,1,1,0,1000,-0.359143933667831,-3.80082120121421,-0.424801696961928,4
232,0,1,1,0,0,1,0,0,0,5,3,3,5,1,2,2,5,4,3,6,1e+07,0,3,5,3,3,3,0,6,0,0,0,0,3,0,0,5,4,4,4,5,0,0,100,1,10,2.76706749713175,-0.0293916928390976,0.324430834608644,1
233,1,0,0,0,0,0,0,0,0,3,3,5,2,2,2,3,3,2,3,2,0,1,4,2,2,2,6,9,0,0,0,0,0,0,0,0,3,4,3,5,5,0,10,1,0,10,0.131315139095395,-1.15047870055634,3.05449844668468,2
234,0,1,1,0,0,1,0,0,0,6,4,3,5,2,2,3,5,5,3,5,1e+07,0,6,6,2,4,2,0,7,2,0,0,0,2,0,0,4,4,5,4,3,0,0,0,10,1,2.54051386785205,0.651113421086267,-0.0323857648661743,1
235,0,0,0,0,1,0,1,1,0,2,6,3,2,5,1,5,2,3,2,3,10,100,5,3,4,6,2,0,0,0,0,0,0,0,7,0,4,6,4,5,4,0,0,100,10,1000,-2.04915770571413,1.48942923031907,0.625767588634157,3
236,0,1,1,0,0,1,0,0,0,6,2,3,5,2,3,3,5,6,3,6,1e+06,0,4,5,2,4,3,0,3,7,0,0,0,0,0,0,3,4,3,4,4,0,0,100,1,10,3.23436259838903,-0.149898149656188,-0.185302665905693,1
237,0,0,0,1,0,0,0,0,1,2,2,3,2,3,5,3,2,3,5,1,1,10,2,3,5,2,4,0,0,0,0,0,0,0,6,6,5,5,6,3,6,1,1,100,10,10000,-0.147103992540278,-3.74296964309575,-0.47403034567313,4
238,0,0,0,0,1,0,1,1,0,2,6,3,1,5,3,6,2,1,3,4,10000,100,4,4,4,5,3,0,0,0,0,2,0,0,6,0,5,4,5,4,5,0,0,100,10,100,-2.99816286752157,-0.367304316125825,-0.0370109508562304,3
239,0,1,1,0,0,1,0,0,0,5,3,3,5,2,3,3,6,5,3,5,1000,0,3,5,2,4,3,0,6,5,0,0,7,0,0,0,4,5,6,5,4,0,0,0,10,10,2.76905409799997,-0.0710535784908113,-0.215639138764208,1
240,0,1,1,0,0,1,0,0,0,5,2,3,4,3,2,3,6,6,2,6,1000,0,4,5,3,4,2,0,0,0,0,3,0,0,0,0,5,5,5,5,5,0,0,100,10,10,2.74812590767954,1.02594051855015,0.275491195002819,1
241,0,0,0,0,1,0,1,1,0,3,6,3,2,5,3,6,2,2,3,4,10,100,4,4,4,6,2,0,0,0,0,0,0,0,7,0,6,3,6,4,4,0,0,100,0,100,-2.27596326834862,-0.0418315100060531,-0.212887288032757,3
242,1,0,0,0,0,0,0,0,0,3,3,6,2,2,3,3,3,2,3,2,0,1,4,2,3,2,5,0,0,0,0,4,0,0,0,0,5,4,2,4,5,0,10,1,0,10000,0.152905525397608,-1.91042086085345,3.96674453555183,2
243,0,0,0,1,0,0,0,0,1,2,2,3,2,3,5,2,2,2,6,1,1,10,3,2,5,2,4,0,0,0,3,0,0,0,0,7,4,5,3,4,4,1,1,1,0,0,-0.141098918029848,-4.57245382689715,-0.5852534106919,4
244,0,1,1,0,0,1,0,0,0,6,4,2,5,2,3,3,5,4,3,6,1000,0,4,6,2,4,2,0,0,2,0,0,7,0,0,0,6,4,5,4,4,0,0,0,1,1,2.29568280491518,0.191887146525904,-1.41682903123221,1
245,0,0,0,0,1,0,1,1,0,3,6,3,3,5,2,6,3,1,3,4,100,100,4,4,4,5,3,0,0,0,0,0,0,4,2,0,3,4,4,4,6,0,0,100,10,100,-2.04607383871184,0.643914407280076,-0.0269788505094756,3
246,0,1,1,0,0,1,0,0,0,6,2,3,5,2,2,3,5,4,2,5,1e+06,0,4,6,3,4,3,0,4,5,0,0,5,0,0,0,5,3,6,4,5,0,0,0,1,1,2.74684094616299,0.778061732487978,0.409949076216024,1
247,0,0,0,0,1,0,1,1,0,3,5,3,2,5,3,5,3,2,3,4,10000,100,4,4,4,4,2,0,0,0,0,3,6,0,5,0,5,4,4,3,5,0,0,100,10,100,-1.55935724092605,-0.240579967994958,-0.129213702085781,3
248,0,1,1,0,0,1,0,0,0,6,3,3,6,2,2,3,5,4,3,5,1000,0,3,5,3,4,2,0,0,0,0,0,2,0,0,0,4,3,3,5,5,0,0,100,1,100,2.75601635333875,0.48175659627832,0.0377158129642062,1
249,0,0,0,1,0,0,0,0,1,4,2,3,3,2,5,3,3,2,6,2,1,10,5,3,5,2,4,0,0,0,0,0,0,5,4,2,5,5,4,4,3,1,1,100,10,10000,0.828323154459738,-4.10120933410187,-0.818936183373469,4
250,0,0,0,0,1,0,1,1,0,3,6,3,2,6,2,6,3,1,3,4,10000,100,4,3,4,6,3,0,0,0,0,5,0,0,3,0,6,2,4,6,5,0,0,100,10,1000,-2.52357145312498,0.676220298062828,-0.0582592877652044,3
251,0,0,0,0,1,0,1,1,0,3,6,2,2,5,2,5,2,2,2,4,10000,100,3,4,4,5,2,0,0,0,0,2,0,0,0,0,4,4,4,4,5,0,0,100,10,10000,-2.04621511618288,1.14522313130958,-0.823201641717924,3
252,0,0,0,0,1,0,1,1,0,2,6,3,2,5,2,6,3,2,3,4,10000,100,4,4,4,5,3,0,0,0,0,0,2,0,8,0,5,4,5,4,6,0,0,100,10,10000,-2.28706762287004,0.525056712956658,0.0471803178191205,3
253,0,0,0,1,0,0,0,0,1,3,2,3,2,2,6,3,2,3,5,2,1,10,1,2,6,3,4,0,0,0,0,0,0,3,0,2,4,4,5,3,5,1,1,1,0,100,0.353025350579902,-4.325330872478,-0.708311964598346,4
254,0,0,0,0,1,0,1,1,0,2,6,3,2,5,2,6,2,3,3,4,10000,100,6,4,5,5,2,0,0,0,0,0,0,0,2,0,4,4,6,5,5,0,0,100,10,100,-2.29181512874573,0.504386309820899,0.0623079724907425,3
255,0,0,0,0,1,0,1,1,0,2,5,3,3,5,2,5,3,2,3,3,10,100,4,4,4,5,2,0,0,0,0,3,0,0,3,0,4,4,5,3,3,0,0,100,10,10000,-1.58198896963309,0.309475370604538,0.136348354095164,3
256,0,0,0,0,1,0,1,1,0,2,5,3,2,5,2,6,3,1,3,4,100,100,1,4,4,6,3,0,0,0,0,0,0,6,0,2,3,5,5,4,5,0,0,100,100,100,-2.30538817658079,0.248554813477989,0.177773684416021,3
257,0,1,1,0,0,1,0,0,0,5,3,3,5,2,1,3,5,4,3,6,1000,0,5,5,2,4,3,0,0,0,0,0,9,0,0,0,5,5,5,3,4,0,0,0,1,10,2.26573854623681,0.817521785536373,0.42426144667819,1
258,0,0,0,0,1,0,1,1,0,3,5,2,1,5,2,5,2,1,2,4,10,100,2,4,4,5,3,0,0,0,0,2,0,0,6,0,4,6,5,4,4,0,0,10,10,100,-2.29835870909108,0.761576157160191,-0.632116486354504,3
259,0,0,0,0,1,0,1,1,0,2,5,3,2,5,2,6,2,1,2,4,10000,100,4,4,4,6,3,0,0,0,0,9,0,4,0,0,6,6,5,5,5,0,0,100,0,10000,-2.54837331173879,0.701221408904925,0.475766615823971,3
260,0,1,1,0,0,1,0,0,0,6,2,3,6,2,3,2,6,5,2,6,1000,0,3,5,3,4,3,0,0,0,0,2,5,0,0,0,5,4,3,3,5,0,0,100,10,10,3.72427168193012,0.405029809168814,0.0410096258381567,1
261,0,0,0,0,1,0,1,1,0,2,6,2,3,5,3,6,3,2,3,3,10000,100,4,4,4,5,3,6,0,0,0,2,0,0,0,0,4,6,5,5,4,0,0,10,10,100,-2.05747273910209,0.276283068965193,-1.4486133217374,3
262,0,0,0,0,1,0,1,1,0,3,6,3,2,4,2,5,2,3,2,4,10000,100,3,4,4,4,2,0,0,0,0,3,0,4,3,0,6,5,3,5,5,0,0,100,10,100,-1.54902836259395,0.907068000936821,0.391485969708941,3
263,0,0,0,0,1,0,1,1,0,3,5,3,2,5,2,5,3,1,3,4,10000,100,4,4,4,5,2,5,0,0,0,7,0,0,3,0,5,5,4,6,4,0,0,100,100,100,-1.80864126386978,0.214042915586514,0.183172763299607,3
264,0,1,1,0,0,1,0,0,0,6,3,3,6,2,2,3,6,6,3,6,1e+07,0,3,5,3,4,2,0,3,5,0,0,5,0,0,0,4,4,4,6,4,0,0,0,1,100,3.48257258173657,0.812349667108609,-0.129987594979311,1
265,0,0,0,0,1,0,1,1,0,2,6,2,3,4,3,5,3,3,3,3,10000,100,4,4,4,6,3,0,0,0,0,0,0,0,5,0,4,5,4,4,5,0,0,100,0,100,-1.32422199613614,0.0906075859675475,-1.33777463726949,3
266,0,1,1,0,0,1,0,0,0,6,2,3,5,2,2,3,5,6,2,6,1000,0,5,5,2,5,3,0,0,0,0,7,2,0,0,0,4,4,6,4,3,0,0,100,1,100,3.22804676117775,0.984676844284332,0.308231907368093,1
267,0,1,1,0,0,1,0,0,0,6,2,3,5,2,2,3,6,5,3,6,1000,0,3,5,2,3,2,0,0,0,0,0,9,0,0,0,4,4,4,3,3,0,0,100,10,10,3.23042898882837,0.428702692959219,0.0610975603841085,1
268,0,0,0,0,1,0,1,1,0,2,5,3,2,5,3,6,2,3,3,4,10000,100,5,4,4,6,3,0,0,0,0,0,0,0,0,0,5,5,5,4,4,0,0,100,100,100,-2.06085165951275,-0.226738473239241,-0.119485126297746,3
269,0,0,0,0,1,0,1,1,0,3,6,3,2,5,2,5,4,3,3,4,10000,100,4,4,4,6,3,0,0,0,0,6,0,0,5,0,5,5,5,4,3,0,0,100,100,100,-1.30436738926859,0.717830329997295,-0.0642654268168452,3
270,0,1,1,0,0,1,0,0,0,6,3,2,6,2,2,3,6,5,3,5,1e+07,0,3,5,3,4,2,0,0,0,0,0,2,0,0,0,4,4,5,6,5,0,0,0,1,10,3.22906040336333,0.911053832027895,-1.25290298038393,1
